timestamp_dataOut;dataOut;sampleOut;trigData
1735867978508;0;1;0
1735867978510;0;1;0
1735867978511;0;1;0
1735867978512;0;1;0
1735867978513;0;1;0
1735867978514;0;1;0
1735867978515;0;1;0
1735867978516;0;1;0
1735867978517;0;1;0
1735867978517;0;1;0
1735867978518;0;1;0
1735867978519;0;1;0
1735867978520;0;1;0
1735867978521;0;1;0
1735867978522;0;1;0
1735867978523;0;1;0
1735867978524;0;1;0
1735867978525;0;1;0
1735867978525;0;1;0
1735867978526;0;1;0
1735867978527;0;1;0
1735867978528;0;1;0
1735867978528;0;1;0
1735867978529;0;1;0
1735867978530;0;1;0
1735867978531;0;1;0
1735867978531;0;1;0
1735867978532;0;1;0
1735867978533;0;1;0
1735867978534;0;1;0
1735867978534;0;1;0
1735867978535;0;1;0
1735867978536;0;1;0
1735867978537;0;1;0
1735867978537;0;1;0
1735867978538;0;1;0
1735867978539;0;1;0
1735867978540;0;1;0
1735867978540;0;1;0
1735867978541;0;1;0
1735867978542;0;1;0
1735867978542;0;1;0
1735867978543;0;1;0
1735867978544;0;1;0
1735867978545;0;1;0
1735867978545;0;1;0
1735867978546;0;1;0
1735867978547;0;1;0
1735867978548;0;1;0
1735867978548;0;1;0
1735867978549;0;1;0
1735867978550;0;1;0
1735867978551;0;1;0
1735867978551;0;1;0
1735867978552;0;1;0
1735867978553;0;1;0
1735867978553;0;1;0
1735867978554;0;1;0
1735867978555;0;1;0
1735867978556;0;1;0
1735867978556;0;1;0
1735867978557;0;1;0
1735867978558;0;1;0
1735867978558;0;1;0
1735867978559;0;1;0
1735867978560;0;1;0
1735867978561;0;1;0
1735867978561;0;1;0
1735867978562;0;1;0
1735867978563;0;1;0
1735867978564;0;1;0
1735867978564;0;1;0
1735867978565;0;1;0
1735867978566;0;1;0
1735867978567;0;1;0
1735867978569;0;1;0
1735867978570;0;1;0
1735867978572;0;1;0
1735867978573;0;1;0
1735867978574;0;1;0
1735867978575;0;1;0
1735867978576;0;1;0
1735867978577;0;1;0
1735867978578;0;1;0
1735867978579;0;1;0
1735867978579;0;1;0
1735867978580;0;1;0
1735867978581;0;1;0
1735867978582;0;1;0
1735867978583;0;1;0
1735867978584;0;1;0
1735867978584;0;1;0
1735867978585;0;1;0
1735867978587;0;1;0
1735867978588;0;1;0
1735867978589;0;1;0
1735867978590;0;1;0
1735867978591;0;1;0
1735867978593;0;1;0
1735867978593;0;1;0
1735867978594;0;1;0
1735867978595;0;1;0
1735867978596;0;1;0
1735867978597;0;1;0
1735867978597;0;1;0
1735867978598;0;1;0
1735867978599;0;1;0
1735867978600;0;1;0
1735867978600;0;1;0
1735867978601;0;1;0
1735867978602;0;1;0
1735867978603;0;1;0
1735867978604;0;1;0
1735867978604;0;1;0
1735867978605;0;1;0
1735867978606;0;1;0
1735867978607;0;1;0
1735867978608;0;1;0
1735867978609;0;1;0
1735867978611;0;1;0
1735867978611;0;1;0
1735867978613;0;1;0
1735867978613;0;1;0
1735867978615;0;1;0
1735867978618;0;1;0
1735867978620;0;1;0
1735867978621;0;1;0
1735867978621;0;1;0
1735867978622;0;1;0
1735867978623;0;1;0
1735867978624;0;1;0
1735867978625;0;1;0
1735867978626;0;1;0
1735867978627;0;1;0
1735867978628;0;1;0
1735867978629;0;1;0
1735867978630;0;1;0
1735867978631;0;1;0
1735867978632;0;1;0
1735867978633;0;1;0
1735867978634;0;1;0
1735867978635;0;1;0
1735867978636;0;1;0
1735867978637;0;1;0
1735867978638;0;1;0
1735867978639;0;1;0
1735867978640;0;1;0
1735867978641;0;1;0
1735867978642;0;1;0
1735867978643;0;1;0
1735867978643;0;1;0
1735867978645;0;1;0
1735867978646;0;1;0
1735867978646;0;1;0
1735867978647;0;1;0
1735867978648;0;1;0
1735867978649;0;1;0
1735867979199;0;0;0
1735867979708;0;1;0
1735867979709;0;1;0
1735867979710;0;1;0
1735867979710;0;1;0
1735867979711;0;1;0
1735867979712;0;1;0
1735867979713;0;1;0
1735867979713;0;1;0
1735867979714;0;1;0
1735867979715;0;1;0
1735867979715;0;1;0
1735867979716;0;1;0
1735867979717;0;1;0
1735867979717;0;1;0
1735867979718;0;1;0
1735867979719;0;1;0
1735867979720;0;1;0
1735867979720;0;1;0
1735867979721;0;1;0
1735867979722;0;1;0
1735867979722;0;1;0
1735867979723;0;1;0
1735867979724;0;1;0
1735867979724;0;1;0
1735867979725;0;1;0
1735867979726;0;1;0
1735867979727;0;1;0
1735867979727;0;1;0
1735867979728;0;1;0
1735867979729;0;1;0
1735867979730;0;1;0
1735867979730;0;1;0
1735867979731;0;1;0
1735867979732;0;1;0
1735867979733;0;1;0
1735867979733;0;1;0
1735867979734;0;1;1
1735867979735;0;1;1
1735867979736;0;1;1
1735867979736;0;1;1
1735867979737;0;1;1
1735867979738;0;1;1
1735867979739;0;1;1
1735867979739;0;1;1
1735867979740;0;1;1
1735867979741;0;1;1
1735867979742;0;1;1
1735867979742;0;1;1
1735867979743;0;1;1
1735867979744;0;1;1
1735867979745;0;1;1
1735867979745;0;1;1
1735867979746;0;1;1
1735867979747;0;1;1
1735867979748;0;1;1
1735867979748;0;1;1
1735867979749;0;1;1
1735867979750;0;1;1
1735867979751;0;1;1
1735867979751;0;1;1
1735867979752;0;1;1
1735867979753;0;1;1
1735867979754;0;1;1
1735867979754;0;1;1
1735867979755;0;1;1
1735867979756;0;1;1
1735867979756;0;1;1
1735867979757;0;1;1
1735867979758;0;1;1
1735867979759;0;1;1
1735867979759;0;1;1
1735867979760;10.368900299072266;2;0
1735867979761;10.368900299072266;2;0
1735867979761;10.368900299072266;2;0
1735867979762;10.368900299072266;2;0
1735867979763;10.368900299072266;2;0
1735867979764;10.368900299072266;2;0
1735867979765;10.368900299072266;2;0
1735867979766;10.368900299072266;2;0
1735867979766;10.368900299072266;2;0
1735867979767;10.368900299072266;2;0
1735867979768;10.368900299072266;2;0
1735867979768;10.368900299072266;2;0
1735867979769;10.368900299072266;2;0
1735867979770;10.368900299072266;2;0
1735867979771;10.368900299072266;2;0
